ID,Title,Year,IMDb,Rotten Tomatoes,Genres,Language,Runtime
1,The Irishman,2019,7.8,98/100,"Biography,Crime,Drama","English,Italian,Latin,Spanish,German",209
2,Dangal,2016,8.4,97/100,"Action,Biography,Drama,Sport","Hindi,English",161
3,David Attenborough: A Life on Our Planet,2020,9,95/100,"Documentary,Biography",English,83
4,Lagaan: Once Upon a Time in India,2001,8.1,94/100,"Drama,Musical,Sport","Hindi,English",224
5,Roma,2018,7.7,94/100,"Action,Drama,History,Romance,War",English,52
6,To All the Boys I've Loved Before,2018,7.1,94/100,"Comedy,Drama,Romance",English,99
7,The Social Dilemma,2020,7.6,93/100,"Documentary,Drama",English,94
8,Okja,2017,7.3,92/100,"Action,Adventure,Drama,Sci-Fi","English,Korean,Spanish",120
9,The Ballad of Buster Scruggs,2018,7.3,92/100,"Comedy,Drama,Musical,Mystery,Romance,Western","English,French",133
10,The Trial of the Chicago 7,2020,7.8,92/100,"Drama,History,Thriller","English,Latin,French",129
11,Article 15,2019,8.2,92/100,"Crime,Drama,Mystery,Thriller",Hindi,130
12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,7.7,92/100,Documentary,"English,East-Greenlandic",94
13,Dolemite Is My Name,2019,7.3,92/100,"Biography,Comedy,Drama",English,118
14,Mudbound,2017,7.4,91/100,"Drama,War",English,134
15,Swades,2004,8.2,91/100,Drama,"Hindi,English",210
16,Fyre,2019,7.2,91/100,"Documentary,Crime,Music",English,97
17,Miss Americana,2020,7.4,90/100,"Documentary,Biography,Music",English,85
18,Virunga,2014,8.2,90/100,"Documentary,War","English,French,Swahili",100
19,Black Friday,2004,8.5,90/100,"Action,Crime,Drama,History","Hindi,English",143
20,Talvar,2015,8.2,90/100,"Crime,Drama,Mystery,Thriller",Hindi,132
21,The King,2019,7.2,90/100,"Biography,Drama,History,Romance,War","English,French,Latin",140
22,John Mulaney: Kid Gorgeous at Radio City,2018,8,89/100,Comedy,English,65
23,I Am Mother,2019,6.7,89/100,"Drama,Mystery,Sci-Fi,Thriller",English,113
24,Tell Me Who I Am,2019,7.6,89/100,"Drama,Thriller","Spanish,German,Russian,French,Italian,Polish,English",
25,The Departed,2006,8.5,89/100,"Crime,Drama,Thriller","English,Cantonese",151
26,Winter on Fire: Ukraine's Fight for Freedom,2015,8.4,89/100,Documentary,"Ukrainian,Russian,English",102
27,Terminator 2: Judgment Day,1991,8.5,89/100,"Action,Sci-Fi","English,Spanish",137
28,I Lost My Body,2019,7.6,89/100,"Animation,Drama,Fantasy,Romance",French,81
29,Django Unchained,2012,8.4,89/100,"Drama,Western","English,German,French,Italian",165
30,The Half of It,2020,6.9,89/100,"Comedy,Drama,Romance","Spanish,English,Mandarin,French,Hindi",104
31,The Boy Who Harnessed the Wind,2019,7.6,89/100,"Biography,Drama,History","Arabic,Nyanja,English",113
32,The Devil All the Time,2020,7.1,89/100,"Crime,Drama,Thriller",English,138
33,The Fundamentals of Caring,2016,7.3,89/100,"Comedy,Drama",English,97
34,Pieces of a Woman,2020,7.1,88/100,Drama,English,126
35,Gerald's Game,2017,6.5,88/100,"Drama,Horror,Thriller",English,103
36,On Body and Soul,2017,7.6,88/100,"Drama,Fantasy,Mystery,Romance",Hungarian,116
37,Shutter Island,2010,8.2,88/100,"Mystery,Thriller","English,German",138
38,Always Be My Maybe,2019,6.8,88/100,"Comedy,Romance",English,101
39,The Intouchables,2011,8.5,88/100,"Biography,Comedy,Drama","French,English",112
40,Bill Burr: Paper Tiger,2019,8.2,87/100,Comedy,English,67
41,Special 26,2013,8,87/100,"Crime,Drama,Thriller",Hindi,144
42,Kiss the Ground,2020,8.3,87/100,Documentary,English,84
43,Crip Camp: A Disability Revolution,2020,7.7,87/100,"Documentary,History",English,106
44,Extraction,2020,6.7,87/100,"Action,Thriller","English,Hindi,Bangla",116
45,No Direction Home: Bob Dylan,2005,8.5,87/100,"Documentary,Biography",English,359
46,Kabhi Khushi Kabhie Gham,2001,7.4,87/100,"Drama,Musical,Romance","Hindi,English",210
47,His House,2020,6.5,87/100,"Drama,Horror,Thriller","English,Dinka",93
